"Date","ipi"
Jan-20,119.7
Dec-19,119.7
Nov-19,119.7
Oct-19,119.7
Sep-19,119.7
Aug-19,119.7
Jul-19,119.7
Jun-19,119.7
May-19,120.4
Apr-19,120.4
Mar-19,120.4
Feb-19,121.5
Jan-19,121.5
Dec-18,121.5
Nov-18,110.2
Oct-18,110.2
Sep-18,110.2
Aug-18,117.4
Jul-18,117.4
Jun-18,117.4
May-18,117.2
Apr-18,117.2
Mar-18,117.2
Feb-18,117.3
Jan-18,117.3
Dec-17,117.3
Nov-17,107
Oct-17,107
Sep-17,107
Aug-17,114
Jul-17,114
Jun-17,114
May-17,113.8
Apr-17,113.8
Mar-17,113.8
Feb-17,114.3
Jan-17,114.3
Dec-16,114.3
Nov-16,105
Oct-16,105
Sep-16,105
Aug-16,112.1
Jul-16,112.1
Jun-16,112.1
May-16,111.2
Apr-16,111.2
Mar-16,111.2
Feb-16,106.9
Jan-16,106.9
Dec-15,106.9
Nov-15,101.2
Oct-15,101.2
Sep-15,101.2
Aug-15,110.7
Jul-15,110.7
Jun-15,110.7
May-15,107.5
Apr-15,107.5
Mar-15,107.5
Feb-15,106
Jan-15,106
Dec-14,106
Nov-14,102.7
Oct-14,102.7
Sep-14,102.7
Aug-14,110
Jul-14,110
Jun-14,110
May-14,106
Apr-14,106
Mar-14,106
Feb-14,105.1
Jan-14,105.1
Dec-13,105.1
Nov-13,101.9
Oct-13,101.9
Sep-13,101.9
Aug-13,107.1
Jul-13,107.1
Jun-13,107.1
May-13,105
Apr-13,105
Mar-13,105
Feb-13,102.8
Jan-13,102.8
Dec-12,102.8
Nov-12,101.3
Oct-12,101.3
Sep-12,101.3
Aug-12,107.2
Jul-12,107.2
Jun-12,107.2
May-12,106.8
Apr-12,106.8
Mar-12,106.8
Feb-12,103.8
Jan-12,103.8
Dec-11,103.8
Nov-11,101.6
Oct-11,101.6
Sep-11,101.6
Aug-11,105.9
Jul-11,105.9
Jun-11,105.9
May-11,102.2
Apr-11,102.2
Mar-11,102.2
Feb-11,100
Jan-11,100
Dec-10,100
Nov-10,100
Oct-10,100
Sep-10,100
Aug-10,100
Jul-10,100
Jun-10,100
May-10,100
Apr-10,100
Mar-10,100
Feb-10,100
Jan-10,100